Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Booth	100	91	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.5728214648757861, 2.971194062144306) = 1.512765787233982	99.8532177629273	39.79678508361045	93.74882282520241	13.76116684386318	1	35.1876
Booth	100	92	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.0397122650315163, 2.3599183524633327) = 1.8530551613056532	99.8532177629273	35.05014601758932	96.11416209294222	9.759173448138762	1	35.1876
Booth	100	93	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(0.5603558667687736, 2.961642388456342) = 1.108700942279305	99.8532177629273	47.42256144292776	95.99323277877231	8.936461481419713	1	35.1876
Booth	100	94	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(0.36684874839254755, 2.971194062144306) = 2.154459572195622	99.8532177629273	31.701151246771648	95.7459221214013	11.519483095245247	1	35.1876
Booth	100	95	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(0.35210415525975136, 2.971194062144306) = 2.2523000179615336	99.8532177629273	30.747470850698974	96.18691668803271	10.882698916288037	1	35.1876
Booth	100	96	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.6104908608065667, 2.971194062144306) = 1.726958271537539	99.8532177629273	36.67089483683851	95.88170818606764	9.837464826063238	1	35.1876
Booth	100	97	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.0736217973069646, 3.5649183658691235) = 1.9554870890907279	99.8532177629273	33.83537027419922	94.68630829132663	12.540594945598064	1	35.1876
Booth	100	98	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.0736217973069646, 3.5649183658691235) = 1.9554870890907279	99.8532177629273	33.83537027419922	94.0964675675138	14.534016315896036	1	35.1876
Booth	100	99	0.8	50	50	1	f(1.0284173423544747, 2.977812562198664) = 0.0014550745856444789	f(0.3109370355616452, 2.632226615230796) = 5.077677307530617	99.85470395801363	16.453654075397164	92.09781870918731	17.57812018328085	1	35.1876
Booth	100	100	0.8	50	50	1	f(1.0284173423544747, 2.977812562198664) = 0.0014550745856444789	f(1.0284173423544747, 2.5676417267721328) = 0.8404143243145266	99.85470395801363	54.335591001904206	96.3905506748552	9.58300516358829	1	35.1876
Booth	100	101	0.8	50	50	1	f(1.0188368620081136, 2.977812562198664) = 0.0008920151990853291	f(1.007400762223198, 3.743754337315806) = 2.810161219811363	99.91087797828939	26.245608579510684	94.31506078475059	12.970457696881672	1	35.1876
Booth	100	102	0.8	50	50	1	f(1.0188368620081136, 2.977812562198664) = 0.0008920151990853291	f(0.32784180742324365, 2.971194062144306) = 2.418029266515485	99.91087797828939	29.25662485679801	94.11451751383727	15.161054775045937	1	35.1876
Booth	100	103	0.8	50	50	1	f(1.0188368620081136, 2.977812562198664) = 0.0008920151990853291	f(1.5659251295478247, 2.9754551365178843) = 1.4932440725185887	99.91087797828939	40.10838774359683	95.57669801050159	11.700427228004216	1	35.1876
Booth	100	104	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0284173423544747, 2.4074922282498448) = 1.624665055074038	99.9360831482163	38.1000995943001	94.66193898567082	13.387197474659851	1	35.1876
Booth	100	105	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0188368620081136, 3.458861392844274) = 1.1236910959693667	99.9360831482163	47.08782750457153	96.9298258160632	9.469911398805053	1	35.1876
Booth	100	106	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.5188706277629032, 2.9754551365178843) = 1.247261023605563	99.9360831482163	44.49861362324411	94.45903778277005	13.159746360149612	1	35.1876
Booth	100	107	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.6197445363421206, 2.8889144396224147) = 1.4313591073674719	99.9360831482163	41.12925963794543	95.35073194451	11.46524734399702	1	35.1876
Booth	100	108	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(0.28818317252939774, 2.9754551365178843) = 2.676199805804653	99.9360831482163	27.2020035042986	91.93242792887584	17.990995960587686	1	35.1876
Booth	100	109	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(0.6203351152852645, 2.7234869484590494) = 1.9428828284730264	99.9360831482163	33.98028594019389	91.96428429618281	15.11536268037402	1	35.1876
Booth	100	110	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0284173423544747, 3.642580376345987) = 2.214668839416337	99.9360831482163	31.10740328019487	90.60167972343689	16.83491087036737	1	35.1876
Booth	100	111	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0188368620081136, 2.2492182958162044) = 2.7070010026577744	99.9360831482163	26.9759840713029	93.24939476392935	14.063933496570163	1	35.1876
Booth	100	112	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0284173423544747, 2.1378819364666617) = 3.524282670793594	99.9360831482163	22.102951401676947	89.14517997973398	19.215624664136033	1	35.1876
Booth	100	113	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(0.35280209158088327, 2.9754551365178843) = 2.2244209893916396	99.9360831482163	31.013320012802446	94.99804523799858	12.486768533074896	1	35.1876
Booth	100	114	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(0.5910623581758006, 2.9754551365178843) = 0.9194607748506508	99.9360831482163	52.09796486087651	96.79005936916136	8.573770767192984	1	35.1876
Booth	100	115	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.0284173423544747, 3.9452164267309042) = 4.686092503922034	99.9360831482163	17.58676981266557	94.70510950875439	14.492596896915668	1	35.1876
Booth	100	116	0.8	50	50	1	f(1.0188368620081136, 2.984509072626083) = 0.0006395773155219627	f(1.8161360637867254, 2.9754551365178843) = 3.173147038535417	99.9360831482163	23.962731022076667	91.70046510486699	19.09958762519866	1	35.1876
