Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Rastrigin	100	51	0.8	50	50	1	f(-0.8745859778890475, 0.02051320924245359) = 3.7956180762109675	f(-1.9907906301122038, -0.4615049852742791) = 23.901885417657518	20.85236947789018	4.015760185334868	13.321860267209095	3.93476814944047	1	49.36
Rastrigin	100	52	0.8	50	50	1	f(-1.1089121375006743, 0.02051320924245359) = 3.5645313961023817	f(-0.4765596338404987, -0.975398519310265) = 21.189480518380822	21.9080539319741	4.506639978216897	14.533397875865226	4.116816536828722	1	49.36
Rastrigin	100	53	0.8	50	50	1	f(-1.0827205468389405, -0.05386557384216428) = 3.0630311581513965	f(-1.121493327166952, 0.4447654137876964) = 23.634231906569607	24.612166657736914	4.059391840560346	14.79342486691126	4.396562244710221	1	49.36
Rastrigin	100	54	0.8	50	50	1	f(-1.0827205468389405, -0.05386557384216428) = 3.0630311581513965	f(-1.337223335824539, -0.9924506600174733) = 17.994528369563596	24.612166657736914	5.264674018452479	15.467536630983261	4.348013839200475	1	49.36
Rastrigin	100	55	0.8	50	50	1	f(-1.0480884286273984, 0.02051320924245359) = 1.6348626163662132	f(-1.9907906301122038, -1.6271043407964174) = 23.604411576934375	37.95264291157306	4.06431178763673	17.363843859102857	5.046700244163774	1	49.36
Rastrigin	100	56	0.8	50	50	1	f(-1.0480884286273984, 0.02051320924245359) = 1.6348626163662132	f(-0.8745859778890475, -0.7150297612112347) = 16.40312626106948	37.95264291157306	5.74609403505268	19.59189917914745	6.598061236044226	1	49.36
Rastrigin	100	57	0.8	50	50	1	f(-1.008244112692012, 0.02051320924245359) = 1.113335855199665	f(-1.9832885391691748, -0.45886775106731037) = 23.866963214163285	47.318555521574744	4.021399763966505	21.33454992364973	9.888958035301942	1	49.36
Rastrigin	100	58	0.8	50	50	1	f(-1.008244112692012, 0.02051320924245359) = 1.113335855199665	f(-1.9832885391691748, -0.38802896140721943) = 21.76467797098498	47.318555521574744	4.39277024377223	22.12914295954515	10.383887511017125	1	49.36
Rastrigin	100	59	0.8	50	50	1	f(-1.008244112692012, 0.02051320924245359) = 1.113335855199665	f(-2.0450352106078715, -0.3910769451245969) = 22.480878716657045	47.318555521574744	4.25878440098842	25.623609391505855	12.395187453000041	1	49.36
Rastrigin	100	60	0.8	50	50	1	f(-0.9876628598188327, 0.02051320924245359) = 1.088873784677423	f(-1.2854621896178355, 0.02051320924245359) = 13.945543896910912	47.87268658045925	6.690957564994938	27.66947923996255	12.09873107877074	1	49.36
Rastrigin	100	61	0.8	50	50	1	f(-0.9876628598188327, 0.02051320924245359) = 1.088873784677423	f(-1.0480884286273984, -0.7316570771795731) = 13.236787897118298	47.87268658045925	7.024056319631006	29.612580534913654	12.786210535916592	1	49.36
Rastrigin	100	62	0.8	50	50	1	f(-0.9876628598188327, 0.02051320924245359) = 1.088873784677423	f(-1.0480884286273984, -0.7316570771795731) = 13.236787897118298	47.87268658045925	7.024056319631006	32.24073309466659	12.935629024238638	1	49.36
Rastrigin	100	63	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-1.9836094858354016, -0.5673460642045891) = 23.427579174193014	75.39415872867228	4.0937335331880504	32.88433324023299	17.230782351395966	1	49.36
Rastrigin	100	64	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.35860129484737446, -0.40264495590548255) = 34.783728106877334	75.39415872867228	2.794566281672055	37.632055371655944	15.412914332435902	1	49.36
Rastrigin	100	65	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.035068058006357594, -0.40264495590548255) = 18.59184966918145	75.39415872867228	5.104163296909271	42.381835778286266	15.348267864721418	1	49.36
Rastrigin	100	66	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.49899030993019866, -0.032394907849224275) = 20.456274520876384	75.39415872867228	4.660641338397431	44.127310635546394	16.59492596155345	1	49.36
Rastrigin	100	67	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-1.0480884286273984, 0.4639824365266767) = 21.51179666044731	75.39415872867228	4.442115460988399	44.73583464625082	15.00464882543101	1	49.36
Rastrigin	100	68	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-1.1595011564016742, -0.3062962855424527) = 19.517453641820758	75.39415872867228	4.873899156578077	44.100421319532344	14.930962178946274	1	49.36
Rastrigin	100	69	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.9876628598188327, 0.6193074228235331) = 18.708454484576595	75.39415872867228	5.073964580949653	45.19946614424176	15.172478293208805	1	49.36
